Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
County,2019/01/01,24,MD,24001,Allegany County,17216,53200,196315,42893,60377,24657,36318,20477,5535,3719,2007,150,182
County,2019/01/01,24,MD,24003,Anne Arundel County,123671,455563,1644494,447532,408855,188058,238024,233931,85240,20535,11661,2956,7702
County,2019/01/01,24,MD,24005,Baltimore County,187080,640290,2256269,602123,566340,265459,341881,330065,95351,31759,14159,3697,5435
County,2019/01/01,24,MD,24009,Calvert County,18585,73940,250090,50450,66986,25998,35766,37376,22935,7358,2059,559,603
County,2019/01/01,24,MD,24011,Caroline County,6857,26549,107137,26804,26123,13879,12257,17114,7054,3068,551,132,155
County,2019/01/01,24,MD,24013,Carroll County,31179,137268,475693,91316,134674,46003,64659,82681,41373,8606,3405,1333,1643
County,2019/01/01,24,MD,24015,Cecil County,20649,82206,297193,67396,74196,35690,44956,49218,15096,6853,2859,485,444
County,2019/01/01,24,MD,24017,Charles County,30826,132431,444037,96278,116772,48057,55157,74921,39977,7651,2828,1078,1318
County,2019/01/01,24,MD,24019,Dorchester County,6733,25196,106980,25814,29665,12750,10731,18014,6285,2838,682,122,79
County,2019/01/01,24,MD,24021,Frederick County,51935,207612,715530,173050,183476,83911,96838,91552,57102,22439,4476,1424,1262
County,2019/01/01,24,MD,24023,Garrett County,4844,24170,93157,15000,27453,12042,17037,13734,4876,1396,1476,61,82
County,2019/01/01,24,MD,24025,Harford County,49156,206285,740716,165368,198548,83946,118627,107155,46050,13512,4423,846,2241
County,2019/01/01,24,MD,24027,Howard County,66978,258712,879644,216394,218739,107757,135267,138753,44069,9225,4459,954,4027
County,2019/01/01,24,MD,24029,Kent County,4190,15232,48958,11152,10981,5944,5725,8919,4411,1263,480,19,64
County,2019/01/01,24,MD,24031,Montgomery County,254135,796553,2963695,876108,759134,343386,413903,380633,139917,22085,17068,4159,7302
County,2019/01/01,24,MD,24033,Prince George's County,206554,702773,2922357,891510,745374,320182,427484,407022,96564,18341,9627,2631,3622
County,2019/01/01,24,MD,24035,Queen Anne's County,8739,41642,151893,32164,38438,18773,18043,25978,11807,4903,861,419,507
County,2019/01/01,24,MD,24037,St. Mary's County,20163,93347,345221,72654,99443,38855,54461,54957,15264,5700,2073,679,1135
County,2019/01/01,24,MD,24039,Somerset County,5295,20321,81297,14724,22069,8505,12778,15518,5049,1932,594,69,59
County,2019/01/01,24,MD,24041,Talbot County,8147,29034,102759,21400,31802,12232,12874,15512,5075,3021,433,177,233
County,2019/01/01,24,MD,24043,Washington County,33341,117708,443604,103702,115604,59118,71035,53537,22380,13332,3496,725,675
County,2019/01/01,24,MD,24045,Wicomico County,24327,79282,319257,77296,88954,45029,44897,35853,20139,4731,1791,275,292
County,2019/01/01,24,MD,24047,Worcester County,11019,41257,161448,44402,44259,17871,23843,17515,8566,2722,1814,231,225
County,2019/01/01,24,MD,24510,Baltimore city,191486,402004,1562472,539800,377326,192065,226871,148270,49273,15002,9568,1549,2748
County,2019/01/02,24,MD,24001,Allegany County,13906,56510,256595,60211,77777,30773,39294,29328,11983,4648,2141,194,246
County,2019/01/02,24,MD,24003,Anne Arundel County,94273,484961,2112830,542051,487270,243298,320500,348895,127369,23771,10461,2816,6399
County,2019/01/02,24,MD,24005,Baltimore County,144631,682739,2861342,702804,670958,312042,480891,502724,130353,38392,13977,4097,5104
County,2019/01/02,24,MD,24009,Calvert County,14188,78337,320233,57871,79090,35335,47833,51491,37137,9012,1497,365,602
County,2019/01/02,24,MD,24011,Caroline County,4981,28425,142011,34705,30862,12989,19999,24596,12962,4856,745,192,105
County,2019/01/02,24,MD,24013,Carroll County,23440,145007,619569,127194,158303,65871,78048,106858,67929,10027,2992,1033,1314
County,2019/01/02,24,MD,24015,Cecil County,15971,86884,387765,75988,80172,48822,67947,75103,27133,8572,3093,596,339
County,2019/01/02,24,MD,24017,Charles County,23093,140164,566037,122311,133586,56526,68188,105556,65109,9790,2475,1273,1223
County,2019/01/02,24,MD,24019,Dorchester County,5102,26827,129647,28504,37945,13718,10882,24965,9574,3123,748,99,89
County,2019/01/02,24,MD,24021,Frederick County,39201,220346,924790,209056,217986,100582,127349,136901,98168,27648,4100,1721,1279
County,2019/01/02,24,MD,24023,Garrett County,3919,25095,130230,25033,35662,15776,21429,19482,9457,1994,1284,44,69
County,2019/01/02,24,MD,24025,Harford County,37268,218173,925938,194964,216188,105924,143716,169776,72357,16341,3941,711,2020
County,2019/01/02,24,MD,24027,Howard County,51705,273985,1104041,247277,253990,134781,184606,204014,61795,9642,3639,1096,3201
County,2019/01/02,24,MD,24029,Kent County,3349,16073,69649,17948,15545,7172,8695,13004,5516,1302,390,41,36
County,2019/01/02,24,MD,24031,Montgomery County,194713,855975,3811493,1078133,938651,432816,584157,553383,176319,21998,15169,4396,6471
County,2019/01/02,24,MD,24033,Prince George's County,153286,756041,3717529,1082942,907491,408448,571193,581802,130382,19587,9496,2675,3513
County,2019/01/02,24,MD,24035,Queen Anne's County,6596,43785,200778,39691,48728,22664,23205,38164,20325,6305,981,324,391
County,2019/01/02,24,MD,24037,St. Mary's County,15751,97759,421258,85760,110099,54599,68557,67667,22690,8517,1724,729,916
County,2019/01/02,24,MD,24039,Somerset County,3929,21687,102240,17373,23473,10293,15090,23471,9834,1942,613,115,36
County,2019/01/02,24,MD,24041,Talbot County,6422,30759,133545,28570,39020,16215,17790,20839,6792,3579,502,98,140
County,2019/01/02,24,MD,24043,Washington County,26139,124910,540996,115755,138559,71512,83455,67977,38442,19621,4217,923,535
County,2019/01/02,24,MD,24045,Wicomico County,18551,85058,419368,93553,116762,57250,63256,49783,30997,5277,1945,288,257
County,2019/01/02,24,MD,24047,Worcester County,9185,43091,194941,45754,50653,23031,30137,26246,13742,3244,1688,241,205
County,2019/01/02,24,MD,24510,Baltimore city,148532,444958,2016681,664179,466183,260043,322407,214812,59831,15532,9821,1645,2228
County,2019/01/03,24,MD,24001,Allegany County,14607,55809,264243,62704,83617,32964,38887,28582,9669,5723,1607,204,286
County,2019/01/03,24,MD,24003,Anne Arundel County,96799,482435,2086315,502489,497705,245453,322895,355033,121337,21116,10706,2931,6650
County,2019/01/03,24,MD,24005,Baltimore County,147192,680178,2935321,725681,682007,318461,496290,535144,119018,36813,13059,3781,5067
County,2019/01/03,24,MD,24009,Calvert County,14883,77642,329298,59912,84087,38497,47867,51875,35500,8948,1636,350,626
County,2019/01/03,24,MD,24011,Caroline County,5203,28203,142224,30356,30174,14530,19742,28980,12793,4501,809,218,121
County,2019/01/03,24,MD,24013,Carroll County,24316,144131,624270,118194,163443,65825,82553,108024,69873,10281,2914,1469,1694
County,2019/01/03,24,MD,24015,Cecil County,16470,86385,394081,78226,80339,44152,70471,81328,26542,8834,3104,609,476
County,2019/01/03,24,MD,24017,Charles County,23645,139612,593973,123883,143021,60237,73391,115171,64803,9129,2474,1016,848
County,2019/01/03,24,MD,24019,Dorchester County,5428,26501,135328,29257,38805,15256,10336,27208,9838,3447,931,205,45
County,2019/01/03,24,MD,24021,Frederick County,41195,218352,970188,228149,217502,109318,131432,140809,106951,28436,4475,1821,1295
County,2019/01/03,24,MD,24023,Garrett County,4167,24847,125990,21270,33167,16918,20961,20723,10261,1329,1214,70,77
County,2019/01/03,24,MD,24025,Harford County,38083,217358,942805,191580,226688,106731,145334,176467,73440,15208,4036,1263,2058
County,2019/01/03,24,MD,24027,Howard County,53918,271772,1096853,251689,257224,126288,180010,203205,61284,8406,4421,1075,3251
County,2019/01/03,24,MD,24029,Kent County,3394,16028,64898,14907,12680,7816,9334,12484,5589,1303,664,61,60
County,2019/01/03,24,MD,24031,Montgomery County,201534,849154,3860336,1105477,949286,442803,586627,562144,165964,22370,15184,4180,6301
County,2019/01/03,24,MD,24033,Prince George's County,156028,753299,3808895,1115780,943550,419055,588713,587786,121388,17817,8816,2415,3575
County,2019/01/03,24,MD,24035,Queen Anne's County,6845,43536,209165,42633,49369,22088,22630,43452,20756,6456,1051,417,313
County,2019/01/03,24,MD,24037,St. Mary's County,16427,97083,438481,89120,119562,58447,69013,67229,23527,8328,1978,573,704
County,2019/01/03,24,MD,24039,Somerset County,3859,21757,106713,16559,25141,10163,17118,25168,10082,1634,749,57,42
County,2019/01/03,24,MD,24041,Talbot County,6925,30256,138150,27772,36600,18515,19862,24461,6656,3478,524,130,152
County,2019/01/03,24,MD,24043,Washington County,26214,124835,560598,115302,137975,80192,89422,69593,42014,20506,4437,796,361
County,2019/01/03,24,MD,24045,Wicomico County,19319,84290,411262,90633,110418,54291,58841,54061,34648,5669,2052,448,201
County,2019/01/03,24,MD,24047,Worcester County,9482,42794,210056,47839,61753,22774,32041,24936,15755,2996,1551,193,218
County,2019/01/03,24,MD,24510,Baltimore city,151092,442398,2102508,691545,500243,265706,338486,223943,53071,15371,10021,1737,2385
County,2019/01/04,24,MD,24001,Allegany County,14524,55892,260664,59262,77316,32743,40665,31563,11095,5599,1965,172,284
County,2019/01/04,24,MD,24003,Anne Arundel County,95328,483906,2125139,509442,499908,248275,333565,368472,120890,23137,12151,3183,6116
County,2019/01/04,24,MD,24005,Baltimore County,144141,683229,2963572,720399,695067,324717,493206,549257,120619,36565,14752,4141,4849
County,2019/01/04,24,MD,24009,Calvert County,14141,78384,323360,56530,84488,38608,45644,49354,35855,9743,1822,653,663
County,2019/01/04,24,MD,24011,Caroline County,4946,28460,146189,31862,30263,14729,19107,29836,14113,4955,926,308,90
County,2019/01/04,24,MD,24013,Carroll County,23554,144893,614843,110000,155653,72758,83042,109579,66659,10372,3815,1732,1233
County,2019/01/04,24,MD,24015,Cecil County,16178,86677,390615,71330,83913,46102,67714,81717,26771,8801,3222,619,426
County,2019/01/04,24,MD,24017,Charles County,23410,139847,596349,120868,143891,60873,74367,116762,65799,9436,2559,887,907
County,2019/01/04,24,MD,24019,Dorchester County,5022,26907,132300,29820,32903,14276,12137,27953,10558,3547,878,156,72
County,2019/01/04,24,MD,24021,Frederick County,40213,219334,978720,227205,219737,114363,135250,142215,104096,28455,4765,1558,1076
County,2019/01/04,24,MD,24023,Garrett County,4129,24885,122004,19276,35434,15887,21385,18325,8043,2060,1418,69,107
County,2019/01/04,24,MD,24025,Harford County,37656,217785,952578,190453,224838,110198,152048,178872,73651,15497,4241,970,1810
County,2019/01/04,24,MD,24027,Howard County,53266,272424,1137944,259808,261662,129801,192972,213407,62277,9518,4443,1117,2939
County,2019/01/04,24,MD,24029,Kent County,3281,16141,63798,11765,12960,8348,10256,12541,5675,1482,567,139,65
County,2019/01/04,24,MD,24031,Montgomery County,197885,852803,3860025,1070032,967084,453597,593530,563343,162939,23492,15819,4558,5631
County,2019/01/04,24,MD,24033,Prince George's County,152592,756735,3877170,1124222,957410,430024,606974,597570,125638,19386,10506,2463,2977
County,2019/01/04,24,MD,24035,Queen Anne's County,6583,43798,211600,41779,47936,25779,24917,40590,22306,6038,1444,391,420
County,2019/01/04,24,MD,24037,St. Mary's County,16165,97345,433077,78894,112575,62478,73218,68540,24944,8746,2242,715,725
County,2019/01/04,24,MD,24039,Somerset County,3947,21669,103305,15698,22677,11936,16159,24692,9262,2028,783,56,14
County,2019/01/04,24,MD,24041,Talbot County,6624,30557,143689,34653,36453,16741,19106,25185,7592,3110,480,150,219
County,2019/01/04,24,MD,24043,Washington County,25876,125173,560745,115745,135412,80536,86827,72248,43064,20650,4862,927,474
County,2019/01/04,24,MD,24045,Wicomico County,18518,85091,424237,94205,108731,61346,60318,56421,35002,5767,1939,341,167
County,2019/01/04,24,MD,24047,Worcester County,9148,43128,206457,44535,60206,22693,32303,27175,14686,2895,1579,221,164
County,2019/01/04,24,MD,24510,Baltimore city,146543,446947,2114724,678123,508778,275665,344848,222128,53829,15834,11070,1854,2595
County,2019/01/05,24,MD,24510,Baltimore city,158766,434724,2034424,653297,494181,265763,335219,204920,49795,16235,11241,1756,2017
County,2019/01/05,24,MD,24047,Worcester County,9698,42578,202684,44750,57297,23704,32600,26378,12676,3460,1407,232,180
County,2019/01/05,24,MD,24045,Wicomico County,20240,83369,402018,86355,112597,53682,61180,50307,29266,6201,2013,243,174
County,2019/01/05,24,MD,24043,Washington County,27281,123768,550784,111075,135159,82922,90222,72656,35891,17839,3637,984,399
County,2019/01/05,24,MD,24041,Talbot County,6713,30468,129584,24548,39896,17260,18333,19269,5914,3640,417,180,127
County,2019/01/05,24,MD,24039,Somerset County,4247,21369,102570,15691,21891,13002,17957,23347,8041,1723,804,93,21
County,2019/01/05,24,MD,24037,St. Mary's County,17180,96330,433797,81275,121863,59643,71099,66855,21894,7404,2351,542,871
County,2019/01/05,24,MD,24035,Queen Anne's County,7039,43342,219030,45434,53138,27107,24816,41164,18864,6585,996,511,415
County,2019/01/05,24,MD,24033,Prince George's County,166880,742447,3755363,1059484,983040,429861,581956,550509,115310,19617,10612,2578,2396
County,2019/01/05,24,MD,24031,Montgomery County,210605,840083,3852641,1072382,1000015,476945,581961,514065,155993,25557,16419,4231,5073
County,2019/01/05,24,MD,24029,Kent County,3419,16003,58539,11872,14037,6216,7864,11124,5014,1868,385,91,68
County,2019/01/05,24,MD,24027,Howard County,54918,270772,1139389,259135,287953,140996,188427,188843,55461,10182,4797,903,2692
County,2019/01/05,24,MD,24025,Harford County,40062,215379,939387,193387,243032,112425,147520,159749,61456,14711,4549,997,1561
County,2019/01/05,24,MD,24023,Garrett County,4067,24947,127941,20694,42440,14779,21954,17058,8102,1564,1169,94,87
County,2019/01/05,24,MD,24021,Frederick County,43336,216211,945633,211953,234561,117803,139872,130298,78210,25645,4922,1500,869
County,2019/01/05,24,MD,24019,Dorchester County,5446,26483,128474,27040,37103,14277,11122,24293,10080,3668,658,177,56
County,2019/01/05,24,MD,24017,Charles County,24980,138277,574019,119979,141612,62509,71736,104334,57863,10652,3429,999,906
County,2019/01/05,24,MD,24015,Cecil County,17096,85759,393105,76731,87740,50636,69355,75597,21453,7222,3366,640,365
County,2019/01/05,24,MD,24013,Carroll County,25200,143247,639276,121315,180394,75243,83943,107927,53896,10550,3767,1023,1218
County,2019/01/05,24,MD,24011,Caroline County,5200,28206,136559,30542,29478,14363,20622,26188,10278,4157,720,96,115
County,2019/01/05,24,MD,24009,Calvert County,15991,76534,330955,59839,90703,38173,47110,50026,33120,8972,2222,292,498
County,2019/01/05,24,MD,24005,Baltimore County,155891,671479,2905896,716099,707760,344952,481330,487805,110098,35226,15166,3345,4115
County,2019/01/05,24,MD,24003,Anne Arundel County,101369,477865,2087320,522345,515086,258989,324323,322508,99687,23845,11888,2864,5785
County,2019/01/05,24,MD,24001,Allegany County,14658,55758,241036,53728,70716,29939,41430,26148,10617,6203,1865,120,270
County,2019/01/06,24,MD,24510,Baltimore city,166044,427446,1844823,597734,464949,238976,295490,171058,46761,15236,10267,1900,2452
County,2019/01/06,24,MD,24047,Worcester County,9973,42303,179102,40294,54006,21781,26823,19024,11904,3122,1725,174,249
County,2019/01/06,24,MD,24045,Wicomico County,21299,82310,372256,80734,110010,51651,52768,45798,23149,5878,1821,252,195
County,2019/01/06,24,MD,24043,Washington County,29021,122028,500781,98813,131691,74176,79915,62281,31873,16539,4275,868,350
County,2019/01/06,24,MD,24041,Talbot County,7352,29829,128592,27091,40140,16210,15738,19304,5882,3338,605,172,112
County,2019/01/06,24,MD,24039,Somerset County,4615,21001,92785,15687,23165,11711,13202,19282,6477,2204,838,193,26
County,2019/01/06,24,MD,24037,St. Mary's County,18144,95366,390183,70786,114272,53065,62483,61074,19147,6191,1792,541,832
County,2019/01/06,24,MD,24035,Queen Anne's County,7700,42681,167943,27143,41780,21094,19745,33364,17751,5158,1095,360,453
County,2019/01/06,24,MD,24033,Prince George's County,175391,733936,3377191,940476,880922,393367,532888,492672,102890,17977,10821,2542,2636
County,2019/01/06,24,MD,24031,Montgomery County,218287,832401,3551874,988069,948930,437436,516010,457641,151155,23827,16899,4994,6913
County,2019/01/06,24,MD,24029,Kent County,3738,15684,52837,10230,12096,5134,7321,11124,4810,1343,558,150,71
County,2019/01/06,24,MD,24027,Howard County,56766,268924,1036675,241464,258451,128669,159063,181023,51301,8272,4442,1061,2929
County,2019/01/06,24,MD,24025,Harford County,42987,212454,864096,181347,231808,99712,134579,138640,58393,12593,4313,1175,1536
County,2019/01/06,24,MD,24023,Garrett County,4411,24603,105790,14659,34321,11423,18556,17342,6023,1777,1567,83,39
County,2019/01/06,24,MD,24021,Frederick County,45196,214351,880982,196803,224589,110137,131462,122126,64814,24046,4417,1606,982
County,2019/01/06,24,MD,24019,Dorchester County,5849,26080,127700,29989,38570,13109,10666,21771,9418,3048,791,183,155
County,2019/01/06,24,MD,24017,Charles County,26370,136887,530721,106930,136104,57304,67629,96880,53301,8588,2672,683,630
County,2019/01/06,24,MD,24015,Cecil County,18027,84828,328301,60807,76542,42571,57898,58714,20831,6678,2942,713,605
County,2019/01/06,24,MD,24013,Carroll County,27464,140983,584691,118817,167668,65497,72549,96163,48656,9447,3524,814,1556
County,2019/01/06,24,MD,24011,Caroline County,5827,27579,120051,26703,28139,11018,16351,23869,9438,3746,688,27,72
County,2019/01/06,24,MD,24009,Calvert County,16681,75844,298082,47760,84301,35284,45742,45132,29135,7984,1936,349,459
County,2019/01/06,24,MD,24005,Baltimore County,163829,663541,2677877,682682,665725,313693,431927,440324,91073,31676,13273,3290,4214
County,2019/01/06,24,MD,24003,Anne Arundel County,106505,472729,1901395,458375,485400,231342,294904,294702,94765,21384,11923,2628,5972
County,2019/01/06,24,MD,24001,Allegany County,15350,55066,233899,51428,79335,29274,39047,21754,5786,4645,2265,112,253
County,2019/01/07,24,MD,24510,Baltimore city,154526,438964,2006840,667616,482956,259341,318242,200814,49234,14557,9374,2024,2682
County,2019/01/07,24,MD,24047,Worcester County,9475,42801,182022,42308,50593,21487,28429,21185,12837,2911,1832,208,232
County,2019/01/07,24,MD,24045,Wicomico County,19359,84250,392346,88729,104287,54046,55253,50734,31505,5080,2202,313,197
County,2019/01/07,24,MD,24043,Washington County,27050,123999,539113,120424,132132,73008,79817,67902,40680,19776,4362,681,331
County,2019/01/07,24,MD,24041,Talbot County,6675,30506,133814,30320,37016,18923,16807,20900,5819,3453,426,39,111
County,2019/01/07,24,MD,24039,Somerset County,3924,21692,99367,16945,24624,7624,15190,22667,9699,1877,621,95,25
County,2019/01/07,24,MD,24037,St. Mary's County,17051,96459,397599,80601,103177,49980,66203,62073,24550,8315,1504,409,787
County,2019/01/07,24,MD,24035,Queen Anne's County,6850,43531,185759,35314,43485,22640,22326,34471,19403,6499,907,281,433
County,2019/01/07,24,MD,24033,Prince George's County,160033,749294,3606923,1080323,884484,392995,548456,554946,115536,16750,8568,1909,2956
County,2019/01/07,24,MD,24031,Montgomery County,205512,845176,3681408,1065696,917128,420061,553870,525670,154998,20558,13223,4168,6036
County,2019/01/07,24,MD,24029,Kent County,3488,15934,59799,12323,13007,6467,7473,13884,4608,1335,548,128,26
County,2019/01/07,24,MD,24027,Howard County,54196,271494,1049308,243158,244811,122643,171918,191711,58252,8939,3807,968,3101
County,2019/01/07,24,MD,24025,Harford County,38546,216895,894299,201375,208767,95070,131970,164763,71193,14499,3937,1074,1651
County,2019/01/07,24,MD,24023,Garrett County,4383,24631,109557,20038,29678,13175,18070,18180,7666,1254,1365,91,40
County,2019/01/07,24,MD,24021,Frederick County,42201,217346,885963,213164,203629,99281,116139,124792,94822,27837,3815,1382,1102
County,2019/01/07,24,MD,24019,Dorchester County,5328,26601,131777,31327,38816,13133,10404,24031,10235,2972,626,132,101
County,2019/01/07,24,MD,24017,Charles County,24285,138972,572425,127849,135646,57718,68259,108074,62598,8726,2313,636,606
County,2019/01/07,24,MD,24015,Cecil County,16631,86224,357889,72273,72448,39054,61770,74299,26364,7651,2836,655,539
County,2019/01/07,24,MD,24013,Carroll County,25056,143391,583048,120052,149627,63762,69073,102763,63026,9741,2997,939,1068
County,2019/01/07,24,MD,24011,Caroline County,5083,28323,126166,25429,28066,10440,16522,27100,13307,4750,449,60,43
County,2019/01/07,24,MD,24009,Calvert County,14926,77599,306410,55054,80750,35950,42348,44376,36824,8357,1539,566,646
County,2019/01/07,24,MD,24005,Baltimore County,151346,676024,2805132,735319,637076,307695,463423,500581,106450,34638,11889,3640,4421
County,2019/01/07,24,MD,24003,Anne Arundel County,98299,480935,1984115,503307,461386,223154,298517,341858,115303,21427,10179,2588,6396
County,2019/01/07,24,MD,24001,Allegany County,14857,55559,238843,57963,68947,31737,36902,27838,8241,4719,2074,146,276
County,2019/01/08,24,MD,24001,Allegany County,14498,55918,243366,57223,71686,30965,36171,29587,10013,5144,2182,176,219
County,2019/01/08,24,MD,24003,Anne Arundel County,100036,479198,1990484,512209,460829,224008,299992,337818,117397,20385,9405,2332,6109
County,2019/01/08,24,MD,24005,Baltimore County,150983,676387,2736644,694407,619866,298934,446065,508986,116332,32454,11962,3658,3980
County,2019/01/08,24,MD,24009,Calvert County,15203,77322,313925,57033,82449,37899,42069,46312,37574,8396,1185,488,520
County,2019/01/08,24,MD,24011,Caroline County,5319,28087,131536,28307,29412,12598,17170,26482,12420,4364,663,63,57
County,2019/01/08,24,MD,24013,Carroll County,24720,143727,560528,114391,140178,59438,66901,101988,62832,10072,2482,966,1280
County,2019/01/08,24,MD,24015,Cecil County,17337,85518,354496,70274,70640,37712,61122,76126,27012,7364,3087,621,538
County,2019/01/08,24,MD,24017,Charles County,24223,139034,560223,120331,132320,56793,69518,111812,58181,7832,2145,601,690
County,2019/01/08,24,MD,24019,Dorchester County,5526,26403,126903,29720,38440,13937,9350,22601,8356,3411,798,233,57
County,2019/01/08,24,MD,24021,Frederick County,42548,216999,875624,214195,194667,97875,114274,125757,98234,24200,3938,1382,1102
County,2019/01/08,24,MD,24023,Garrett County,3860,25154,110732,22639,30318,11029,17926,18726,7609,1352,1037,61,35
County,2019/01/08,24,MD,24025,Harford County,39411,216030,882167,190929,208476,94960,129875,166607,70235,14877,3554,924,1730
County,2019/01/08,24,MD,24027,Howard County,54271,271419,1051558,246556,245080,124910,167166,192506,58789,8122,4015,1101,3313
County,2019/01/08,24,MD,24029,Kent County,3450,15972,64504,14264,13750,6051,8554,14943,4979,1424,471,16,52
County,2019/01/08,24,MD,24031,Montgomery County,205758,844930,3673166,1073930,917179,422303,547828,520864,148797,19372,13412,3652,5829
County,2019/01/08,24,MD,24033,Prince George's County,161171,748156,3668501,1113785,904892,396697,551994,557610,114999,15724,8040,1907,2853
County,2019/01/08,24,MD,24035,Queen Anne's County,6963,43418,199985,41731,47351,24992,22021,36022,20201,6180,786,264,437
County,2019/01/08,24,MD,24037,St. Mary's County,16920,96590,394841,83274,97994,50882,64382,62793,24435,8260,1578,530,713
County,2019/01/08,24,MD,24039,Somerset County,4219,21397,96252,16729,20237,9705,15902,20832,10291,1659,693,183,21
County,2019/01/08,24,MD,24041,Talbot County,7061,30120,138055,31721,37493,18231,18039,21390,6507,4117,345,106,106
County,2019/01/08,24,MD,24043,Washington County,26881,124168,537573,121491,131904,71091,77665,69087,40730,20159,4349,834,263
County,2019/01/08,24,MD,24045,Wicomico County,19755,83854,380144,86400,101107,51923,52881,49113,31251,4762,2200,276,231
County,2019/01/08,24,MD,24047,Worcester County,9582,42694,179967,41669,48667,19486,28839,23873,12770,2497,1727,259,180
County,2019/01/08,24,MD,24510,Baltimore city,154102,439388,1972863,659160,471427,253015,310485,200038,50499,14514,9283,1990,2452
County,2019/01/09,24,MD,24001,Allegany County,14431,55985,232255,52779,68331,29535,36177,27432,9377,6030,2123,174,297
County,2019/01/09,24,MD,24003,Anne Arundel County,95950,483284,1937261,484800,453740,216247,285822,338987,119633,19561,9876,2532,6063
County,2019/01/09,24,MD,24005,Baltimore County,146616,680754,2740808,682152,615100,303683,449119,518321,117890,33084,13567,3673,4219
County,2019/01/09,24,MD,24009,Calvert County,14407,78118,301665,52394,78478,34190,42406,47132,35668,8902,1386,598,511
County,2019/01/09,24,MD,24011,Caroline County,5297,28109,130951,29796,29578,11949,15530,25012,13513,4569,792,136,76
County,2019/01/09,24,MD,24013,Carroll County,23791,144656,565057,110870,137958,59322,71672,102196,68378,9472,2871,1161,1157
County,2019/01/09,24,MD,24015,Cecil County,16258,86597,359382,70858,69444,41517,64809,73569,26608,8546,2997,618,416
County,2019/01/09,24,MD,24017,Charles County,23646,139611,558741,116215,128899,57851,72324,111527,60602,7989,2070,665,599
County,2019/01/09,24,MD,24019,Dorchester County,5203,26726,129256,31454,39622,11989,10320,23299,7903,3710,814,72,73
County,2019/01/09,24,MD,24021,Frederick County,40178,219369,874730,206317,190207,101030,116493,128273,100243,26001,3857,1375,934
County,2019/01/09,24,MD,24023,Garrett County,4087,24927,102984,17257,29705,13385,16247,15867,7886,1440,1078,72,47
County,2019/01/09,24,MD,24025,Harford County,37847,217594,870126,183901,197086,95233,131907,164980,76246,14589,3758,868,1558
County,2019/01/09,24,MD,24027,Howard County,52264,273426,1049627,249875,241144,122300,165661,198001,56548,7993,4056,919,3130
County,2019/01/09,24,MD,24029,Kent County,3203,16219,63520,15761,12872,7436,8499,11899,4920,1545,476,78,34
County,2019/01/09,24,MD,24031,Montgomery County,201450,849238,3641954,1041184,908491,426834,542181,525424,154717,20060,14005,3450,5608
County,2019/01/09,24,MD,24033,Prince George's County,157058,752269,3615584,1089112,889857,390410,544140,554824,117774,15586,8826,2229,2826
County,2019/01/09,24,MD,24035,Queen Anne's County,6886,43495,186335,36633,44148,20922,21857,34427,20616,6228,874,297,333
County,2019/01/09,24,MD,24037,St. Mary's County,16612,96898,400344,83607,102372,51785,64486,62606,23576,9140,1731,370,671
County,2019/01/09,24,MD,24039,Somerset County,4109,21507,95258,16035,23766,9224,13977,21352,7865,1969,775,250,45
County,2019/01/09,24,MD,24041,Talbot County,6526,30655,132362,31681,32454,18004,17748,21721,6155,3791,428,176,204
County,2019/01/09,24,MD,24043,Washington County,25859,125190,537194,123874,129657,70814,78258,67450,38732,22000,5310,808,291
County,2019/01/09,24,MD,24045,Wicomico County,19229,84380,376135,83400,97268,51427,52577,50284,32766,5699,2347,172,195
County,2019/01/09,24,MD,24047,Worcester County,9351,42925,188288,46057,51625,20838,28482,23449,12851,2781,1736,247,222
County,2019/01/09,24,MD,24510,Baltimore city,151253,442237,1992022,654503,482627,255165,317301,199947,53236,14633,10213,1962,2435
County,2019/01/10,24,MD,24027,Howard County,52966,272724,1047876,243270,239733,119679,166154,203059,58876,8494,4211,1269,3131
County,2019/01/10,24,MD,24001,Allegany County,14102,56314,229192,51454,67742,26978,38264,28942,7918,5230,2152,257,255
County,2019/01/10,24,MD,24003,Anne Arundel County,96763,482471,1981975,487913,460990,222042,300343,349273,121314,20608,10642,2458,6392
County,2019/01/10,24,MD,24005,Baltimore County,146113,681257,2776014,690513,629216,304473,455652,524524,114459,34460,14302,3988,4427
County,2019/01/10,24,MD,24009,Calvert County,14004,78521,312934,59235,79806,35701,43278,47180,35529,9482,1665,536,522
County,2019/01/10,24,MD,24011,Caroline County,5015,28391,129947,29282,28722,10234,17305,26311,11557,5605,815,24,92
County,2019/01/10,24,MD,24013,Carroll County,23340,145107,571154,114657,139076,60028,74281,102968,64498,10359,2748,1312,1227
County,2019/01/10,24,MD,24015,Cecil County,16054,86801,368474,74538,71424,40660,62735,79282,26836,8723,3064,716,496
County,2019/01/10,24,MD,24017,Charles County,23063,140194,579287,123702,133140,61658,73575,112076,62566,8776,2556,637,601
County,2019/01/10,24,MD,24019,Dorchester County,5134,26795,131266,30209,37611,11872,9818,26891,10155,3662,841,130,77
